timestamp,src_ip,src_port,dest_ip,dest_port,protocol,action,bytes,duration,interface_in,interface_out,reason,bytes_in,bytes_out,dest,src,transport,dvc
2025-09-08T00:00:30-0400,10.10.10.179,56187,10.10.1.10,53,udp,allow,513,8.598500,inside,outside,Inbound access permitted,56,457,10.10.1.10,10.10.10.179,udp,CCS-FW01
2025-09-08T00:00:56-0400,10.10.10.100,54213,10.10.1.10,88,tcp,allow,1079,8.757556,inside,outside,Inbound access permitted,435,644,10.10.1.10,10.10.10.100,tcp,CCS-FW01
2025-09-08T00:01:09-0400,45.142.212.101,27616,10.10.1.14,3389,tcp,deny,0,0.000,outside,inside,Inbound access denied,0,0,10.10.1.14,45.142.212.101,tcp,CCS-FW01
2025-09-08T00:01:40-0400,103.21.244.0,19267,10.10.1.232,139,tcp,deny,0,0.000,outside,inside,Inbound access denied,0,0,10.10.1.232,103.21.244.0,tcp,CCS-FW01
2025-09-08T00:02:27-0400,10.10.20.38,59278,10.10.1.10,88,tcp,allow,1466,8.294275,inside,outside,Inbound access permitted,721,745,10.10.1.10,10.10.20.38,tcp,CCS-FW01
2025-09-08T00:02:39-0400,10.10.20.62,59900,10.10.1.10,53,udp,allow,253,3.437377,inside,outside,Inbound access permitted,57,196,10.10.1.10,10.10.20.62,udp,CCS-FW01
2025-09-08T00:02:55-0400,10.10.10.149,53145,10.10.1.10,53,udp,allow,604,0.136987,inside,outside,Inbound access permitted,153,451,10.10.1.10,10.10.10.149,udp,CCS-FW01
2025-09-08T00:03:00-0400,10.10.10.72,58943,10.10.1.10,53,udp,allow,503,3.509792,inside,outside,Inbound access permitted,118,385,10.10.1.10,10.10.10.72,udp,CCS-FW01
2025-09-08T00:05:19-0400,10.10.10.62,63948,10.10.1.10,53,udp,allow,324,0.483705,inside,outside,Inbound access permitted,158,166,10.10.1.10,10.10.10.62,udp,CCS-FW01
2025-09-08T00:06:31-0400,10.10.10.169,62829,10.10.1.10,53,udp,allow,318,2.948728,inside,outside,Inbound access permitted,77,241,10.10.1.10,10.10.10.169,udp,CCS-FW01
2025-09-08T00:06:48-0400,10.10.10.33,52866,10.10.1.10,88,tcp,allow,1390,7.182593,inside,outside,Inbound access permitted,685,705,10.10.1.10,10.10.10.33,tcp,CCS-FW01
2025-09-08T00:07:26-0400,10.10.20.33,52784,10.10.1.10,53,udp,allow,344,1.773894,inside,outside,Inbound access permitted,88,256,10.10.1.10,10.10.20.33,udp,CCS-FW01
2025-09-08T00:07:29-0400,10.10.10.154,62250,10.10.1.10,53,udp,allow,332,3.227130,inside,outside,Inbound access permitted,122,210,10.10.1.10,10.10.10.154,udp,CCS-FW01
2025-09-08T00:07:37-0400,91.108.56.0,54115,10.10.1.78,135,tcp,deny,0,0.000,outside,inside,Inbound access denied,0,0,10.10.1.78,91.108.56.0,tcp,CCS-FW01
2025-09-08T00:07:43-0400,10.10.20.44,49771,10.10.1.10,53,udp,allow,649,3.813867,inside,outside,Inbound access permitted,180,469,10.10.1.10,10.10.20.44,udp,CCS-FW01
2025-09-08T00:08:07-0400,162.158.0.0,8498,10.10.20.168,5432,tcp,deny,0,0.000,outside,inside,Inbound access denied,0,0,10.10.20.168,162.158.0.0,tcp,CCS-FW01
2025-09-08T00:08:09-0400,10.10.20.20,64120,10.10.1.10,53,udp,allow,545,6.908157,inside,outside,Inbound access permitted,64,481,10.10.1.10,10.10.20.20,udp,CCS-FW01
2025-09-08T00:08:09-0400,10.10.10.118,53538,10.10.1.10,88,tcp,allow,941,2.461196,inside,outside,Inbound access permitted,496,445,10.10.1.10,10.10.10.118,tcp,CCS-FW01
2025-09-08T00:08:17-0400,10.10.10.96,64532,10.10.1.10,88,tcp,allow,806,6.620196,inside,outside,Inbound access permitted,488,318,10.10.1.10,10.10.10.96,tcp,CCS-FW01
2025-09-08T00:08:45-0400,10.10.3.36,52043,10.10.1.10,53,udp,allow,432,4.181711,inside,outside,Inbound access permitted,191,241,10.10.1.10,10.10.3.36,udp,CCS-FW01
2025-09-08T00:09:27-0400,10.10.10.93,60470,10.10.1.10,88,tcp,allow,971,6.357833,inside,outside,Inbound access permitted,647,324,10.10.1.10,10.10.10.93,tcp,CCS-FW01
2025-09-08T00:09:52-0400,10.10.10.55,65044,10.10.1.10,53,udp,allow,572,8.534819,inside,outside,Inbound access permitted,158,414,10.10.1.10,10.10.10.55,udp,CCS-FW01
